ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-58-8388-01	299.72	801.93	1101.66
TCGA-58-8390-01	137.87	165.1	302.97
TCGA-58-8391-01	-1210.65	-440.99	-1651.64
TCGA-58-8392-01	-1445.42	-641.94	-2087.36
TCGA-58-8393-01	53.32	1575.64	1628.95
TCGA-58-A46J-01	-537.52	478.92	-58.61
TCGA-58-A46K-01	-1023.17	-315.07	-1338.24
TCGA-58-A46L-01	-198.84	461.73	262.89
TCGA-58-A46M-01	-825.86	575.93	-249.93
TCGA-58-A46N-01	-1516.38	-772.52	-2288.9
TCGA-60-2695-01	-426.44	241.57	-184.87
TCGA-60-2696-01	-168.83	908.78	739.94
TCGA-60-2697-01	836.34	2363.69	3200.03
TCGA-60-2698-01	7.38	1371.51	1378.89
TCGA-60-2703-01	193.26	-381	-187.74
TCGA-60-2704-01	1488.39	1632.67	3121.06
TCGA-60-2706-01	-176.72	1069.23	892.51
TCGA-60-2707-01	438.27	670.43	1108.7
TCGA-60-2708-01	706.25	-109.8	596.45
TCGA-60-2709-01	1253.42	1888.32	3141.74
TCGA-60-2710-01	78.38	822.05	900.43
TCGA-60-2711-01	-1114	-27.09	-1141.09
TCGA-60-2712-01	824.67	2035.26	2859.93
TCGA-60-2713-01	893.83	1286.03	2179.87
TCGA-60-2714-01	-213.67	925.77	712.1
TCGA-60-2715-01	1342.42	1746.74	3089.16
TCGA-60-2716-01	-1564.57	-965.63	-2530.19
TCGA-60-2719-01	-869.29	152.46	-716.83
TCGA-60-2720-01	-198.19	1170.31	972.12
TCGA-60-2721-01	267.59	1246.18	1513.77
TCGA-60-2722-01	-1058.54	-453.14	-1511.68
TCGA-60-2723-01	82.39	984.8	1067.19
TCGA-60-2724-01	400.31	2.52	402.82
TCGA-60-2725-01	634.13	1778.52	2412.65
TCGA-60-2726-01	-963.92	392.9	-571.02
TCGA-63-5128-01	-650.99	-629.53	-1280.52
TCGA-63-5131-01	-898.9	-109.18	-1008.08
TCGA-63-6202-01	638.01	2004.29	2642.3
TCGA-63-7020-01	-466.99	768.51	301.51
TCGA-63-7021-01	91.6	860.3	951.9
TCGA-63-7022-01	1612.16	1857.44	3469.59
TCGA-63-7023-01	-826.42	-124.39	-950.81
TCGA-63-A5M9-01	-461.6	73.47	-388.13
TCGA-63-A5MB-01	-917.47	-190.6	-1108.07
TCGA-63-A5MG-01	-192.51	727.5	534.99
TCGA-63-A5MH-01	-891.57	-544.93	-1436.5
TCGA-63-A5MI-01	-1158.99	-800.39	-1959.38
TCGA-63-A5MJ-01	143.47	-12.35	131.12
TCGA-63-A5ML-01	-450.08	-20.76	-470.84
TCGA-63-A5MM-01	684.34	1556.31	2240.65
TCGA-63-A5MN-01	948.35	2281.54	3229.89
TCGA-63-A5MP-01	-409.49	1065.33	655.84
TCGA-63-A5MR-01	-1042.91	-7.48	-1050.39
TCGA-63-A5MS-01	487.42	1199.37	1686.79
TCGA-63-A5MT-01	91.39	825.41	916.8
TCGA-63-A5MU-01	-1710.39	-749.54	-2459.93
TCGA-63-A5MV-01	285.27	836.86	1122.12
TCGA-63-A5MW-01	174.36	-676.2	-501.84
TCGA-63-A5MY-01	-2047.35	-1162.74	-3210.1
TCGA-66-2727-01	-463.79	347.83	-115.96
TCGA-66-2734-01	332.51	1139.64	1472.15
TCGA-66-2737-01	1087.42	777.68	1865.1
TCGA-66-2742-01	-235.3	513.34	278.04
TCGA-66-2744-01	543.96	2123.36	2667.32
TCGA-66-2753-01	-122.58	295.73	173.15
TCGA-66-2754-01	-1298.01	-880.53	-2178.54
TCGA-66-2755-01	460.99	1984.26	2445.25
TCGA-66-2756-01	-722.41	-260.32	-982.73
TCGA-66-2757-01	-311.95	426.18	114.23
TCGA-66-2758-01	-411	1214.38	803.38
TCGA-66-2759-01	-138.27	788.32	650.05
TCGA-66-2763-01	-589.05	274.63	-314.41
TCGA-66-2765-01	-56.79	1071.81	1015.03
TCGA-66-2766-01	-630.45	-69.03	-699.48
TCGA-66-2767-01	489.17	2123.97	2613.14
TCGA-66-2768-01	-667.23	849.41	182.18
TCGA-66-2769-01	725.46	1543.33	2268.79
TCGA-66-2770-01	292.79	779.04	1071.83
TCGA-66-2771-01	87.09	1937.25	2024.34
TCGA-66-2773-01	-144.78	1097.84	953.06
TCGA-66-2777-01	-24.35	1055.07	1030.72
TCGA-66-2778-01	-710.07	961.02	250.95
TCGA-66-2780-01	157.45	548.61	706.06
TCGA-66-2781-01	-368.57	235.55	-133.01
TCGA-66-2782-01	257.12	1215.03	1472.16
TCGA-66-2783-01	-269.12	447.98	178.87
TCGA-66-2785-01	-9.41	1761.48	1752.07
TCGA-66-2786-01	-239.56	924.4	684.84
TCGA-66-2787-01	84.22	863.94	948.16
TCGA-66-2788-01	774.19	1084.91	1859.09
TCGA-66-2789-01	371.21	332.36	703.56
TCGA-66-2790-01	20.31	553.44	573.75
TCGA-66-2791-01	413.12	1485.14	1898.26
TCGA-66-2792-01	-296.68	-151.88	-448.56
TCGA-66-2793-01	-1673.39	-1200.28	-2873.67
TCGA-66-2794-01	-678.05	1468.99	790.94
TCGA-66-2795-01	480.65	838.06	1318.7
TCGA-66-2800-01	-15.82	882.69	866.87
